iter	RMSE
0	0.7727166567
1	0.765783529
2	0.7601652343
3	0.7555898562
4	0.7484551255
5	0.7413294311
6	0.736913851
7	0.7300055137
8	0.7246486352
9	0.7181092897
10	0.7123203673
11	0.7066756874
12	0.7017713293
13	0.6971333833
14	0.6919782289
15	0.6871016261
16	0.682285119
17	0.6766021214
18	0.6712452767
19	0.6657370735
20	0.6606267245
21	0.6541389713
22	0.649001174
23	0.6449064443
24	0.6391183721
25	0.634471552
26	0.6290556948
27	0.6257864472
28	0.6197820379
29	0.6142192858
30	0.6072271807
31	0.6024839243
32	0.5973768666
33	0.5933695992
34	0.5899052625
35	0.5859253185
36	0.5811299808
37	0.5767255101
38	0.5729675397
39	0.5682876926
40	0.5644235809
41	0.5611281272
42	0.5581840284
43	0.5536347573
44	0.5495282851
45	0.5450315699
46	0.5401573622
47	0.5362993297
48	0.5311575298
49	0.5259839219
50	0.5224495527
51	0.5181326527
52	0.5130366737
53	0.5079277548
54	0.5041205998
55	0.4997555508
56	0.4960715928
57	0.4920722377
58	0.4881593391
59	0.4845049551
60	0.4811418182
61	0.4767931268
62	0.4733591801
63	0.4685345758
64	0.4653810564
65	0.461881687
66	0.4580681281
67	0.4545772564
68	0.450823523
69	0.4481082433
70	0.4451625876
71	0.4421932695
72	0.4388125155
73	0.4354442111
74	0.4325116916
75	0.4295000411
76	0.4252840675
77	0.4218743968
78	0.4185583187
79	0.4156554335
80	0.4121689661
81	0.4087909277
82	0.40617523
83	0.4031539395
84	0.3996064106
85	0.3968463657
86	0.3943529709
87	0.3908824382
88	0.3880437607
89	0.3853254698
90	0.3828246266
91	0.3793902534
92	0.3769567001
93	0.374482218
94	0.3715106445
95	0.3687404402
96	0.3669194104
97	0.3629192831
98	0.360214907
99	0.3580468228
100	0.3559095356
101	0.353337196
102	0.3506713985
103	0.3487303174
104	0.3462883721
105	0.3442345848
106	0.3420732568
107	0.3394637687
108	0.3372137408
109	0.334222626
110	0.3307773384
111	0.3279916286
112	0.3244460445
113	0.3223735499
114	0.3203620854
115	0.3181749595
116	0.3160494443
117	0.3141344882
118	0.3122415372
119	0.3090974313
120	0.3065287695
121	0.3046399793
122	0.3019811741
123	0.3001705928
124	0.298114428
125	0.2955675236
126	0.293567576
127	0.2917283367
128	0.2898021436
129	0.2874895523
130	0.2857227681
131	0.2838472659
132	0.2818732594
133	0.2804081137
134	0.2778337054
135	0.2760618849
136	0.2745114822
137	0.2727231479
138	0.2708115832
139	0.2686361385
140	0.266569722
141	0.2649653644
142	0.2630561105
143	0.2610499527
144	0.2592988559
145	0.2576041801
146	0.2554824029
147	0.2534569839
148	0.251540988
149	0.2492431068
150	0.2476222105
151	0.2459638617
152	0.2441461558
153	0.2425776934
154	0.2409654076
155	0.2395148386
156	0.2371762485
157	0.235591651
158	0.2335075785
159	0.2319001924
160	0.2299772894
161	0.2278311952
162	0.2260605468
163	0.2247122181
164	0.2235888403
165	0.2220953495
166	0.2206960656
167	0.2193860793
168	0.2180568918
169	0.2165092281
170	0.2152507723
171	0.2143414939
172	0.2126571467
173	0.2109042144
174	0.2091122446
175	0.2075498053
176	0.2062003677
177	0.2048134059
178	0.2029087196
179	0.2012737731
180	0.1998179536
181	0.198898332
182	0.1977258945
183	0.1966602104
184	0.1953341676
185	0.1940477869
186	0.192418938
187	0.190974698
188	0.1892086453
189	0.1877907843
190	0.1866558397
