iter	Passed	Remaining
0	0	579
1	1	668
2	2	719
3	2	742
4	3	719
5	4	747
6	5	730
7	5	706
8	6	729
9	7	712
10	8	734
11	9	752
12	10	761
13	10	764
14	11	764
15	12	794
16	13	779
17	14	768
18	14	760
19	15	750
20	15	740
21	16	727
22	17	722
23	17	715
24	18	706
25	18	699
26	19	694
27	19	680
28	20	673
29	20	669
30	21	662
31	21	658
32	22	651
33	22	643
34	23	637
35	23	628
36	24	625
37	24	621
38	24	613
39	25	604
40	25	600
41	25	591
42	26	583
43	26	578
44	26	572
45	27	565
46	27	559
47	27	554
48	28	551
49	28	548
50	29	547
51	29	543
52	30	538
53	30	533
54	30	530
55	31	527
56	31	525
57	32	521
58	32	518
59	32	513
60	33	512
61	33	511
62	34	508
63	34	504
64	34	503
65	35	499
66	35	496
67	36	494
68	36	491
69	36	489
70	37	486
71	37	485
72	38	482
73	38	480
74	38	479
75	39	476
76	39	474
77	39	471
78	40	469
79	40	465
80	40	462
81	41	461
82	41	459
83	41	457
84	42	454
85	42	453
86	42	451
87	43	450
88	43	449
89	44	447
90	44	445
91	44	443
92	45	441
93	45	439
94	46	439
95	46	436
96	46	434
97	46	432
98	47	431
99	47	430
100	48	429
101	48	427
102	49	426
103	49	425
104	49	423
105	50	422
106	50	420
107	50	419
108	51	417
109	51	415
110	51	414
111	52	412
112	52	411
113	52	409
114	53	408
115	53	408
116	54	407
117	54	406
118	54	405
119	55	404
120	55	403
121	55	402
122	56	401
123	56	399
124	56	398
125	57	398
126	57	396
127	57	394
128	58	394
129	58	392
130	58	391
131	59	390
132	59	389
133	60	388
134	60	387
135	60	385
136	61	384
137	61	383
138	61	382
139	62	381
140	62	380
141	62	379
142	63	378
143	63	376
144	63	375
145	63	373
146	64	372
147	64	371
148	64	371
149	65	370
150	65	369
151	66	368
152	66	367
153	66	366
154	67	366
155	67	365
156	67	364
157	68	363
158	68	364
159	69	363
160	69	363
161	70	362
162	70	362
163	70	361
164	71	361
165	71	360
166	72	360
167	72	359
168	72	358
169	73	358
170	73	358
171	74	357
172	74	356
173	75	356
174	75	355
175	75	354
176	76	354
177	76	353
178	76	352
179	77	352
180	77	351
181	77	350
182	78	349
183	78	348
184	78	347
185	79	347
186	79	346
187	80	345
188	80	345
189	80	344
190	81	343
191	81	342
192	81	342
193	82	342
194	82	341
195	83	341
196	83	340
197	83	340
198	88	354
199	88	354
200	89	353
201	89	353
202	89	352
203	90	351
204	90	350
205	90	349
206	91	349
207	91	348
208	91	347
209	92	347
210	92	346
211	93	345
212	93	345
213	93	344
214	94	344
215	94	343
216	95	343
217	95	342
218	95	341
219	96	341
220	96	340
221	97	339
222	97	339
223	97	339
224	98	338
225	98	337
226	99	337
227	99	337
228	99	336
229	100	335
230	100	335
231	101	334
232	101	334
233	101	333
234	102	333
235	102	333
236	103	332
237	103	331
238	104	331
239	104	331
240	105	330
241	105	330
242	105	329
243	106	329
244	106	328
245	107	328
246	107	327
247	107	326
248	108	326
249	108	325
250	108	324
251	109	324
252	109	323
253	109	322
254	110	322
255	110	321
256	111	321
257	111	320
258	111	319
259	112	319
260	112	318
261	112	317
262	113	317
263	113	316
264	113	316
265	114	315
266	114	314
267	114	314
268	115	313
269	115	312
270	115	311
271	116	311
272	116	310
273	116	309
274	117	308
275	117	308
276	117	307
277	118	306
278	118	306
279	118	305
280	119	304
281	119	304
282	119	303
